,Dimension,L,Stepsize,ESS,ESS.L,AR,,
1,2,1,2.5,64.96514925,64.96514925,0.0285,,T=2.5
2,2,2,1.25,811.8755569,405.9377784,0.2357,,
3,2,3,0.833333333,3045.114485,1015.038162,0.704,,
4,2,4,0.625,4599.516428,1149.879107,0.8526,,
5,2,5,0.5,5083.845553,1016.769111,0.9139,,
6,2,6,0.416666667,5551.185772,925.1976287,0.9444,,
7,2,7,0.357142857,5173.378779,739.0541113,0.9621,,
8,2,8,0.3125,5200.921293,650.1151617,0.9729,,
9,2,9,0.277777778,5469.049282,607.6721425,0.9775,,
10,2,10,0.25,5430.052401,543.0052401,0.9842,,
11,2,11,0.227272727,5628.792517,511.7084107,0.986,,
12,2,12,0.208333333,5186.322077,432.1935064,0.9878,,
13,2,13,0.192307692,5729.452727,440.7271329,0.9904,,
14,2,14,0.178571429,5366.641747,383.3315534,0.9915,,
15,2,15,0.166666667,5405.253773,360.3502515,0.9918,,
16,2,16,0.15625,5559.518379,347.4698987,0.9929,,
17,2,17,0.147058824,5324.04329,313.1790171,0.9963,,
18,2,18,0.138888889,4769.599465,264.9777481,0.9947,,
19,2,19,0.131578947,5189.127134,273.1119544,0.9949,,
20,2,20,0.125,5366.509252,268.3254626,0.9965,,
21,2,1,2.5,69.05449468,69.05449468,0.0318,,
22,2,2,1.25,801.3576039,400.678802,0.2291,,
23,2,3,0.833333333,2962.431383,987.4771275,0.697,,
24,2,4,0.625,4563.555926,1140.888981,0.8503,,
25,2,5,0.5,5173.89934,1034.779868,0.9193,,
26,2,6,0.416666667,5315.438767,885.9064611,0.9434,,
27,2,7,0.357142857,5275.713786,753.6733979,0.9622,,
28,2,8,0.3125,5779.330682,722.4163353,0.9719,,
29,2,9,0.277777778,5511.305274,612.3672526,0.9794,,
30,2,10,0.25,4995.413163,499.5413163,0.9815,,
31,2,11,0.227272727,5390.722644,490.0656949,0.9851,,
32,2,12,0.208333333,5208.290072,434.0241727,0.9862,,
33,2,13,0.192307692,5828.744928,448.3649945,0.9902,,
34,2,14,0.178571429,5687.912791,406.2794851,0.9869,,
35,2,15,0.166666667,5249.483143,349.9655429,0.9906,,
36,2,16,0.15625,5402.196706,337.6372941,0.9941,,
37,2,17,0.147058824,5793.334339,340.7843729,0.995,,
38,2,18,0.138888889,5459.684687,303.3158159,0.9958,,
39,2,19,0.131578947,5314.088446,279.6888656,0.995,,
40,2,20,0.125,5675.227053,283.7613526,0.9967,,
41,2,1,2.5,31.73075191,31.73075191,0.0237,,
42,2,2,1.25,764.5624269,382.2812135,0.2286,,
43,2,3,0.833333333,3714.16983,1238.05661,0.699,,
44,2,4,0.625,4527.038677,1131.759669,0.8473,,
45,2,5,0.5,4774.052587,954.8105173,0.9208,,
46,2,6,0.416666667,4987.289933,831.2149888,0.9441,,
47,2,7,0.357142857,4806.842027,686.6917182,0.9599,,
48,2,8,0.3125,4938.836871,617.3546089,0.9726,,
49,2,9,0.277777778,4836.71096,537.4123288,0.9751,,
50,2,10,0.25,5243.113089,524.3113089,0.9823,,
51,2,11,0.227272727,5358.298066,487.118006,0.9849,,
52,2,12,0.208333333,5965.10351,497.0919592,0.9879,,
53,2,13,0.192307692,5954.403045,458.0310034,0.9901,,
54,2,14,0.178571429,5338.364187,381.3117277,0.9907,,
55,2,15,0.166666667,5627.433234,375.1622156,0.993,,
56,2,16,0.15625,4831.848962,301.9905601,0.994,,
57,2,17,0.147058824,5663.325647,333.1368027,0.9934,,
58,2,18,0.138888889,5685.40875,315.8560416,0.9942,,
59,2,19,0.131578947,5786.430759,304.5489873,0.9954,,
60,2,20,0.125,5222.628226,261.1314113,0.9957,,
