"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"1",500,1,2.5,0,0,0
"2",500,2,1.25,0,0,0
"3",500,3,0.833333333333333,0,0,0
"4",500,4,0.625,0,0,0
"5",500,5,0.5,24.0142906755354,4.80285813510709,0.0236
"6",500,6,0.416666666666667,192.917996515262,32.1529994192103,0.1817
"7",500,7,0.357142857142857,798.964399030073,114.13777129001,0.3684
"8",500,8,0.3125,1343.82180445902,167.977725557377,0.5095
"9",500,9,0.277777777777778,1668.91133110677,185.434592345197,0.5988
"10",500,10,0.25,2056.72724670289,205.672724670289,0.6724
"11",500,11,0.227272727272727,2475.57556088602,225.052323716911,0.7215
"12",500,12,0.208333333333333,2961.49636736236,246.791363946863,0.7792
"13",500,13,0.192307692307692,3064.8600736215,235.758467201654,0.8104
"14",500,14,0.178571428571429,3005.14506356377,214.653218825983,0.8341
"15",500,15,0.166666666666667,3393.93939377004,226.262626251336,0.8559
"16",500,16,0.15625,3819.85721755231,238.741076097019,0.8771
"17",500,17,0.147058823529412,3734.65969014683,219.685864126284,0.8889
"18",500,18,0.138888888888889,3971.58203818857,220.643446566032,0.9022
"19",500,19,0.131578947368421,3588.02177086524,188.843251098171,0.9089
"20",500,20,0.125,4111.16212856085,205.558106428043,0.9182
"21",500,1,2.5,0,0,0
"22",500,2,1.25,0,0,0
"23",500,3,0.833333333333333,0,0,0
"24",500,4,0.625,0,0,0
"25",500,5,0.5,51.9701590416306,10.3940318083261,0.041
"26",500,6,0.416666666666667,138.477592586185,23.0795987643642,0.1897
"27",500,7,0.357142857142857,537.496234475693,76.7851763536705,0.3857
"28",500,8,0.3125,1264.80493002701,158.100616253376,0.5088
"29",500,9,0.277777777777778,1975.80622210319,219.534024678132,0.6155
"30",500,10,0.25,2043.12472519728,204.312472519728,0.6709
"31",500,11,0.227272727272727,2592.16459132814,235.651326484376,0.7299
"32",500,12,0.208333333333333,2936.89960180703,244.741633483919,0.7827
"33",500,13,0.192307692307692,3071.83101531143,236.294693485495,0.8096
"34",500,14,0.178571428571429,3100.15319498959,221.439513927828,0.8441
"35",500,15,0.166666666666667,3521.4189417689,234.761262784593,0.8583
"36",500,16,0.15625,3470.08655508196,216.880409692622,0.8727
"37",500,17,0.147058823529412,3744.82329192544,220.283723054438,0.8868
"38",500,18,0.138888888888889,3712.31624643727,206.239791468737,0.9081
"39",500,19,0.131578947368421,3809.79645939478,200.515603126041,0.9141
"40",500,20,0.125,3649.51851678595,182.475925839298,0.9232
"41",500,1,2.5,0,0,0
"42",500,2,1.25,0,0,0
"43",500,3,0.833333333333333,0,0,0
"44",500,4,0.625,0,0,0
"45",500,5,0.5,34.9124159701926,6.98248319403852,0.0387
"46",500,6,0.416666666666667,303.503473597638,50.583912266273,0.1862
"47",500,7,0.357142857142857,426.829501878175,60.9756431254535,0.3821
"48",500,8,0.3125,991.110977276091,123.888872159511,0.5072
"49",500,9,0.277777777777778,1868.30340902217,207.58926766913,0.6014
"50",500,10,0.25,2399.19077150144,239.919077150144,0.6871
"51",500,11,0.227272727272727,2535.91531111721,230.53775555611,0.7299
"52",500,12,0.208333333333333,2854.71073787981,237.892561489984,0.781
"53",500,13,0.192307692307692,2875.45937369716,221.189182592089,0.8085
"54",500,14,0.178571428571429,3214.47745704908,229.605532646363,0.8461
"55",500,15,0.166666666666667,3578.40299305781,238.560199537187,0.8575
"56",500,16,0.15625,3004.84701933409,187.802938708381,0.8751
"57",500,17,0.147058823529412,3861.53539603138,227.149140943022,0.8947
"58",500,18,0.138888888888889,3052.89805194731,169.605447330406,0.8922
"59",500,19,0.131578947368421,3941.26367856275,207.434930450671,0.9093
"60",500,20,0.125,3749.48493051,187.4742465255,0.9184
