"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"1",1000,1,2.5,0,0,0
"2",1000,2,1.25,0,0,0
"3",1000,3,0.833333333333333,0,0,0
"4",1000,4,0.625,0,0,0
"5",1000,5,0.5,2.56674065832499,0.513348131664998,0.0032
"6",1000,6,0.416666666666667,51.6066486089862,8.6011081014977,0.0679
"7",1000,7,0.357142857142857,190.057069047951,27.151009863993,0.2032
"8",1000,8,0.3125,253.831609875155,31.7289512343944,0.3413
"9",1000,9,0.277777777777778,938.995226669625,104.332802963292,0.4645
"10",1000,10,0.25,1146.74869599388,114.674869599388,0.5596
"11",1000,11,0.227272727272727,1857.18522276121,168.835020251019,0.6211
"12",1000,12,0.208333333333333,2241.85753903428,186.82146158619,0.7002
"13",1000,13,0.192307692307692,2370.87626937723,182.375097644402,0.7288
"14",1000,14,0.178571428571429,2647.19775255419,189.085553753871,0.7711
"15",1000,15,0.166666666666667,2545.4575081921,169.697167212807,0.794
"16",1000,16,0.15625,3201.74482561629,200.109051601018,0.8294
"17",1000,17,0.147058823529412,3407.4449413218,200.437937724812,0.8454
"18",1000,18,0.138888888888889,3640.56384777337,202.25354709852,0.8645
"19",1000,19,0.131578947368421,3447.01387443477,181.421782864988,0.8749
"20",1000,20,0.125,3501.42467684277,175.071233842138,0.8759
"21",1000,1,2.5,0,0,0
"22",1000,2,1.25,0,0,0
"23",1000,3,0.833333333333333,0,0,0
"24",1000,4,0.625,0,0,0
"25",1000,5,0.5,2.04302567920003,0.408605135840006,0.0022
"26",1000,6,0.416666666666667,34.8314345625309,5.80523909375515,0.0564
"27",1000,7,0.357142857142857,175.618770445518,25.0883957779311,0.1956
"28",1000,8,0.3125,426.734685217302,53.3418356521627,0.3506
"29",1000,9,0.277777777777778,953.621032323336,105.957892480371,0.4529
"30",1000,10,0.25,1504.23590519979,150.423590519979,0.553
"31",1000,11,0.227272727272727,1757.52263983437,159.774785439488,0.6363
"32",1000,12,0.208333333333333,2275.48213021677,189.623510851397,0.6862
"33",1000,13,0.192307692307692,2629.61230515991,202.277869627685,0.7417
"34",1000,14,0.178571428571429,2653.67873480209,189.548481057292,0.7721
"35",1000,15,0.166666666666667,3130.41306033598,208.694204022399,0.7947
"36",1000,16,0.15625,2996.51575390974,187.282234619359,0.8196
"37",1000,17,0.147058823529412,3042.09575088577,178.946808875633,0.8456
"38",1000,18,0.138888888888889,3432.96431435518,190.720239686399,0.8632
"39",1000,19,0.131578947368421,3324.97407328226,174.998635435909,0.8789
"40",1000,20,0.125,3557.90143498682,177.895071749341,0.8829
"41",1000,1,2.5,0,0,0
"42",1000,2,1.25,0,0,0
"43",1000,3,0.833333333333333,0,0,0
"44",1000,4,0.625,0,0,0
"45",1000,5,0.5,1.80356850389693,0.360713700779385,0.0014
"46",1000,6,0.416666666666667,51.7694816864084,8.62824694773474,0.0629
"47",1000,7,0.357142857142857,134.773657537114,19.2533796481591,0.2023
"48",1000,8,0.3125,250.268375872843,31.2835469841054,0.3353
"49",1000,9,0.277777777777778,773.415673610634,85.935074845626,0.46
"50",1000,10,0.25,1351.90705183998,135.190705183998,0.5605
"51",1000,11,0.227272727272727,1614.39202027175,146.762910933796,0.6263
"52",1000,12,0.208333333333333,2292.83820020777,191.069850017314,0.6849
"53",1000,13,0.192307692307692,2393.53359592245,184.117968917112,0.7475
"54",1000,14,0.178571428571429,2441.27197446994,174.376569604996,0.7654
"55",1000,15,0.166666666666667,2602.8438468798,173.52292312532,0.7933
"56",1000,16,0.15625,2918.79732283189,182.424832676993,0.8273
"57",1000,17,0.147058823529412,3165.02133664,186.177725684706,0.8414
