"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"1",2,1,2.5,37.5609027897151,37.5609027897151,0.0315
"2",2,2,1.25,916.161635660867,458.080817830433,0.2132
"3",2,3,0.833333333333333,3398.08661813043,1132.69553937681,0.7039
"4",2,4,0.625,4853.09390840773,1213.27347710193,0.8439
"5",2,5,0.5,5200.55696705398,1040.1113934108,0.9203
"6",2,6,0.416666666666667,4966.4130392944,827.735506549067,0.9445
"7",2,7,0.357142857142857,5241.71688696632,748.816698138046,0.962
"8",2,8,0.3125,5374.26012292964,671.782515366205,0.9717
"9",2,9,0.277777777777778,5502.118621631,611.346513514556,0.9785
"10",2,10,0.25,5186.39658187257,518.639658187257,0.9819
"11",2,11,0.227272727272727,5305.22220304488,482.292927549534,0.9856
"12",2,12,0.208333333333333,5939.79066526411,494.982555438676,0.9879
"13",2,13,0.192307692307692,5623.56602147303,432.582001651772,0.9885
"14",2,14,0.178571428571429,5816.52878977796,415.466342126997,0.9921
"15",2,15,0.166666666666667,5791.65879446057,386.110586297371,0.9924
"16",2,16,0.15625,5627.14953674863,351.696846046789,0.9934
"17",2,17,0.147058823529412,5303.30148132673,311.958910666278,0.9936
"18",2,18,0.138888888888889,5381.62014436668,298.97889690926,0.9947
"19",2,19,0.131578947368421,5619.34105085774,295.754792150407,0.9955
"20",2,20,0.125,5285.97036026719,264.298518013359,0.9936
"21",4,1,2.5,3.9690206359427,3.9690206359427,0.0012
"22",4,2,1.25,260.657130063167,130.328565031583,0.0716
"23",4,3,0.833333333333333,2249.47546778562,749.82515592854,0.5272
"24",4,4,0.625,3643.97234125748,910.993085314369,0.7633
"25",4,5,0.5,4819.52277446605,963.90455489321,0.8634
"26",4,6,0.416666666666667,4698.06405241272,783.010675402119,0.9143
"27",4,7,0.357142857142857,4655.18564029439,665.026520042056,0.9426
"28",4,8,0.3125,5559.00194553802,694.875243192253,0.955
"29",4,9,0.277777777777778,5358.23661451887,595.35962383543,0.965
"30",4,10,0.25,4186.50089624037,418.650089624037,0.9744
"31",4,11,0.227272727272727,4814.30208795172,437.663826177429,0.9769
"32",4,12,0.208333333333333,5024.1559409573,418.679661746442,0.9815
"33",4,13,0.192307692307692,5315.90376991203,408.915674608618,0.9852
"34",4,14,0.178571428571429,5043.04394009091,360.217424292208,0.9868
"35",4,15,0.166666666666667,5609.19028596,373.946019064,0.9891
"36",4,16,0.15625,4974.02766506382,310.876729066489,0.99
"37",4,17,0.147058823529412,5144.61303235609,302.624296020946,0.9902
"38",4,18,0.138888888888889,5769.71435096539,320.539686164744,0.9934
"39",4,19,0.131578947368421,5250.47489556205,276.34078397695,0.9939
"40",4,20,0.125,5314.87243471388,265.743621735694,0.9923
"41",10,1,2.5,0,0,0
"42",10,2,1.25,6.13908699763396,3.06954349881698,0.0035
"43",10,3,0.833333333333333,982.285095491568,327.428365163856,0.2638
"44",10,4,0.625,2220.15257155212,555.038142888031,0.6032
"45",10,5,0.5,3470.86070667546,694.172141335092,0.7705
"46",10,6,0.416666666666667,4312.16272334437,718.693787224061,0.8593
"47",10,7,0.357142857142857,4595.48135163065,656.497335947235,0.9051
"48",10,8,0.3125,4855.81875902316,606.977344877895,0.9292
"49",10,9,0.277777777777778,4738.27194968656,526.474661076284,0.945
"50",10,10,0.25,4743.38163985314,474.338163985314,0.9593
"51",10,11,0.227272727272727,4928.84174614742,448.076522377038,0.9633
"52",10,12,0.208333333333333,5054.43435535896,421.20286294658,0.9678
"53",10,13,0.192307692307692,4129.77339590421,317.674876608016,0.9744
"54",10,14,0.178571428571429,5062.26655849655,361.590468464039,0.9761
"55",10,15,0.166666666666667,4961.69936306616,330.779957537744,0.9821
"56",10,16,0.15625,5205.98128910331,325.373830568957,0.9838
"57",10,17,0.147058823529412,5326.46862157361,313.321683621977,0.9829
"58",10,18,0.138888888888889,5086.16882660825,282.56493481157,0.9871
"59",10,19,0.131578947368421,5193.73871932147,273.354669437972,0.9885
"60",10,20,0.125,4598.72543565168,229.936271782584,0.9884
"61",50,1,2.5,0,0,0
"62",50,2,1.25,0,0,0
"63",50,3,0.833333333333333,20.1877201378067,6.72924004593556,0.0081
"64",50,4,0.625,476.099453440729,119.024863360182,0.2243
"65",50,5,0.5,1696.24732767999,339.249465535998,0.5028
"66",50,6,0.416666666666667,2422.41083597564,403.735139329274,0.672
"67",50,7,0.357142857142857,3129.29239376822,447.041770538317,0.7745
"68",50,8,0.3125,3532.49042338083,441.561302922603,0.8347
"69",50,9,0.277777777777778,3874.55628278209,430.506253642455,0.877
"70",50,10,0.25,4059.04795886034,405.904795886034,0.8996
"71",50,11,0.227272727272727,4061.01737388437,369.183397625852,0.9147
