"","Dimension","lambda","ESS","ESS.sec","AR"
"1",2,0.001,3.60219061174803,3.91391397073536,0.9995
"2",2,0.0778974358974359,11.7022881255801,14.3295552337165,0.9589
"3",2,0.154794871794872,47.8878668866007,57.2412629316577,0.9234
"4",2,0.231692307692308,74.853957953398,90.2271238848122,0.8782
"5",2,0.308589743589744,175.746213931736,211.585941655513,0.8493
"6",2,0.38548717948718,242.818147821644,296.247972180471,0.8053
"7",2,0.462384615384615,303.312252131029,352.05333179531,0.7714
"8",2,0.539282051282051,412.382298671337,460.030379958478,0.7414
"9",2,0.616179487179487,485.30018116065,586.378900533442,0.7082
"10",2,0.693076923076923,589.178825393901,698.430084801241,0.6676
"11",2,0.769974358974359,638.367137354199,777.887485226203,0.6442
"12",2,0.846871794871795,710.841785211426,809.175091754716,0.6177
"13",2,0.923769230769231,811.214315641373,926.588540175617,0.5814
"14",2,1.00066666666667,843.258751389153,967.59914907195,0.5488
"15",2,1.0775641025641,1059.08927628247,1246.63266680998,0.5229
"16",2,1.15446153846154,1012.52407005735,1189.03240754969,0.5011
"17",2,1.23135897435897,1128.44586810319,1326.67033813337,0.4769
"18",2,1.30825641025641,954.72240157763,1141.1975426857,0.4519
"19",2,1.38515384615385,1212.72865443595,1360.41692976489,0.4308
"20",2,1.46205128205128,1142.78413728216,1266.37340441602,0.4107
"21",2,1.53894871794872,1113.73738904486,1332.85926938253,0.3845
"22",2,1.61584615384615,1143.29703838346,1304.41586420005,0.3724
"23",2,1.69274358974359,1277.62509346335,1564.46504545561,0.3608
"24",2,1.76964102564103,1166.28333036116,1100.31486956526,0.3254
"25",2,1.84653846153846,1193.44864577648,1133.40650492344,0.3222
"26",2,1.9234358974359,1184.1830379575,1400.4255992445,0.3129
"27",2,2.00033333333333,1148.60079099033,1381.12897537114,0.2863
"28",2,2.07723076923077,1148.74695224861,1344.28188071476,0.2884
"29",2,2.15412820512821,1195.83456761194,1380.05872493965,0.2704
"30",2,2.23102564102564,1038.05836123013,1213.33562314029,0.2534
"31",2,2.30792307692308,1025.19463445986,1219.62181775453,0.2465
"32",2,2.38482051282051,1060.30324524062,1006.00520749958,0.229
"33",2,2.46171794871795,1042.96146759712,1059.7317578351,0.2263
"34",2,2.53861538461538,1026.75813476545,1204.3319660243,0.2164
"35",2,2.61551282051282,945.422401664551,1025.01143453953,0.212
"36",2,2.69241025641026,946.100086851883,1114.9385691978,0.194
"37",2,2.76930769230769,950.252017008251,1092.86648924401,0.1929
"38",2,2.84620512820513,916.362677285324,1050.27735733923,0.1832
"39",2,2.92310256410256,906.955533381843,821.272157553968,0.1732
"40",2,3,844.862740354476,856.543273190599,0.1697
"41",2,NA,2.79015213835597,3.44946141327377,0.9993
"42",2,NA,10.9613848063213,13.4032717819054,0.9558
"43",2,NA,43.0759234746475,52.8008322342724,0.9188
"44",2,NA,105.389415969071,129.494597973817,0.8835
"45",2,NA,143.023749344721,174.242208783768,0.8478
"46",2,NA,242.450287160105,283.665507701983,0.8101
"47",2,NA,349.542204091074,433.206569692811,0.782
"48",2,NA,393.836821430588,483.933689907821,0.7366
"49",2,NA,474.515533596073,588.821093176536,0.6957
"50",2,NA,528.648182355268,652.785086276664,0.6698
"51",2,NA,667.464426220021,828.277916874338,0.6313
"52",2,NA,784.927819938068,972.804674956465,0.6134
"53",2,NA,760.13409482278,937.473087686588,0.584
"54",2,NA,955.401530259848,1181.16165334121,0.557
"55",2,NA,1000.00851888333,1227.23040885244,0.5273
"56",2,NA,982.562490524567,1157.68416979242,0.4954
"57",2,NA,970.601633580102,1154.44446105529,0.475
"58",2,NA,1074.83358108473,1272.34022532004,0.4523
"59",2,NA,1057.65793107385,1276.15485836585,0.4335
"60",2,NA,1148.93963017992,1344.23694896062,0.4151
"61",2,NA,1133.32685131635,1294.2559439399,0.3871
"62",2,NA,1211.80544271775,1501.90976320838,0.3694
"63",2,NA,1197.39243840503,1400.92617994417,0.3606
"64",2,NA,1181.45077152532,1403.51856440126,0.3277
"65",2,NA,1283.83552782356,1550.87240653012,0.3171
"66",2,NA,1166.90803120945,1153.87165706647,0.3054
"67",2,NA,1065.71744914866,1222.61437671555,0.2983
"68",2,NA,1134.05007214686,1363.40779053357,0.2852
"69",2,NA,1141.75649016646,1387.64778772606,0.2662
"70",2,NA,1047.02246076809,1275.60464672095,0.2518
"71",2,NA,1092.27721701447,576.722847988646,0.2499
"72",2,NA,937.897287322195,990.942412672086,0.2337
"73",2,NA,1065.91040381333,1173.17237519451,0.2325
"74",2,NA,1012.3126982217,1141.75472603921,0.2142
"75",2,NA,963.038392493696,1132.01834472885,0.2099
"76",2,NA,925.839206305473,1080.83141160144,0.203
"77",2,NA,932.798147316359,1059.38267569756,0.1829
"78",2,NA,879.831870897311,1031.99566411309,0.1814
"79",2,NA,838.243702820969,968.474448286531,0.1752
"80",2,NA,900.463715537613,1019.20762014633,0.1716
"81",2,NA,3.18565045093888,3.87234106781466,0.9999
"82",2,NA,9.30154354759462,11.0259053891661,0.9591
"83",2,NA,42.8649992044945,51.1761678521435,0.9208
"84",2,NA,105.427411225511,127.688652063475,0.8869
"85",2,NA,153.958037659873,184.688579965603,0.8532
"86",2,NA,227.9532782717,275.089623550862,0.8128
"87",2,NA,325.654269177715,403.693405370124,0.7714
"88",2,NA,411.249126172311,480.685497091629,0.7437
"89",2,NA,490.932117629921,600.414155400529,0.6984
"90",2,NA,623.324710106075,764.197630162488,0.6705
"91",2,NA,680.647196955908,837.51441845279,0.6362
"92",2,NA,620.207658196601,752.9854136739,0.611
"93",2,NA,835.124398542837,1020.09503428477,0.5746
"94",2,NA,849.344982710403,1041.26069152607,0.5496
"95",2,NA,885.979887223899,1083.56346525758,0.5382
"96",2,NA,960.303066105903,1187.49443264892,0.4896
"97",2,NA,1075.28285687992,1323.14977632712,0.4632
"98",2,NA,1128.04820666278,1379.61375800585,0.4508
"99",2,NA,1127.40211265403,1368.80785515183,0.4338
"100",2,NA,1120.02627925014,1369.80486106356,0.4109
"101",2,NA,1064.40117146396,1300.13206598245,0.3848
"102",2,NA,1173.18925119863,1452.48447190039,0.3673
"103",2,NA,1291.04046159332,1575.06024543022,0.3553
"104",2,NA,1148.99733671909,1309.42278149539,0.3352
"105",2,NA,1173.33824174128,1431.46436845899,0.3333
"106",2,NA,1189.31298653869,1459.88180583702,0.3018
"107",2,NA,1164.5437390959,1425.98910493713,0.2906
"108",2,NA,1139.94999688313,1401.00506033731,0.2804
"109",2,NA,1119.91422944336,1366.33553913189,0.2626
"110",2,NA,1115.80516847635,1362.97835944947,0.2562
"111",2,NA,1031.78363817164,1257.23760181987,0.2379
"112",2,NA,1090.38968689363,1331.89715359241,0.2338
"113",2,NA,1070.95556511995,1295.5209671386,0.2285
"114",2,NA,1072.79511450266,1308.8439598236,0.2244
"115",2,NA,992.701989958868,1209.61485788521,0.1975
"116",2,NA,1120.26182231998,1376.75735107744,0.1999
"117",2,NA,866.966430900808,1056.44134696388,0.1902
"118",2,NA,872.916497515488,1074.095590262,0.1791
"119",2,NA,869.333652502571,1002.06517265647,0.1719
"120",2,NA,822.460899651837,994.921648845182,0.1664
"121",2,NA,1.00371909589386,1.22303963982657,0.9987
"122",2,NA,10.1890827320369,12.4914133328053,0.9586
"123",2,NA,41.9320939069601,51.3459047872775,0.9204
"124",2,NA,94.611749952943,115.565671030226,0.8801
"125",2,NA,163.480026114796,197.760166890925,0.8514
"126",2,NA,244.864084151175,292.689201444534,0.8089
"127",2,NA,339.692255719961,402.672643264192,0.7731
"128",2,NA,431.705805213909,511.149122487677,0.7413
"129",2,NA,452.805952106259,474.01281521446,0.7019
"130",2,NA,595.878109437582,687.671880671866,0.6718
"131",2,NA,699.666107663367,841.305004616147,0.6461
"132",2,NA,750.742825674704,897.338325515657,0.6111
"133",2,NA,864.773894565114,1034.90615548853,0.5788
"134",2,NA,884.29253147567,1067.14595848523,0.551
"135",2,NA,908.337169998851,1037.49832876194,0.5356
"136",2,NA,997.98994848429,1213.15206590967,0.4973
"137",2,NA,1068.15214174247,1295.30139891158,0.4793
"138",2,NA,1042.587559343,1196.31812852177,0.4553
"139",2,NA,1133.82633110321,1293.60170299615,0.4309
"140",2,NA,1085.06121060779,1173.86520557954,0.4007
"141",2,NA,1181.12921063296,1305.96947316778,0.3843
"142",2,NA,1200.64685502744,1392.00899648507,0.3725
"143",2,NA,1236.35879229773,1483.13847018917,0.3534
"144",2,NA,1167.46364870645,1424.34090758667,0.3418
"145",2,NA,1198.51812817457,1467.58704279404,0.3274
"146",2,NA,1217.65524024269,1476.54689558705,0.3014
"147",2,NA,1053.30942426075,1223.97977850246,0.2897
"148",2,NA,1091.53494063167,1333.2848061872,0.2752
"149",2,NA,1134.26039662778,1387.16197924709,0.2708
"150",2,NA,1150.29117790758,1394.90741336528,0.2559
"151",2,NA,1022.26865031442,1259.4558909275,0.2423
"152",2,NA,1038.70540827159,1271.84974102171,0.2391
"153",2,NA,1089.80292678177,1319.91275254968,0.2318
"154",2,NA,1045.05072316347,1281.17971091061,0.2181
"155",2,NA,969.415461925125,1189.91369505442,0.201
"156",2,NA,991.877516063276,1216.03859099933,0.2022
"157",2,NA,885.0004606022,1074.49774139058,0.1884
"158",2,NA,940.441639135241,1082.81920432488,0.1845
"159",2,NA,737.092420574645,903.641729232163,0.1748
"160",2,NA,828.22270160966,1011.68825968033,0.1656
"161",2,NA,2.61014132081129,3.20774794886933,0.9987
"162",2,NA,11.4839535829503,14.0278466069629,0.9591
"163",2,NA,49.7930397513017,61.046086055271,0.927
"164",2,NA,107.64198400281,131.167065432552,0.8894
"165",2,NA,185.942048745568,227.12287443193,0.8555
"166",2,NA,265.409827775123,324.202286951089,0.8176
"167",2,NA,332.956769169122,409.706265533352,0.7662
"168",2,NA,394.010091746544,478.360322693253,0.7502
"169",2,NA,435.021223587163,529.433567661672,0.6998
"170",2,NA,600.22740920051,732.296204482472,0.6696
