"","Dimension","lambda","ESS","ESS.sec","AR"
"1",4,0.001,2.1950061584739,4.03774330363531,0.9998
"2",4,0.158842105263158,44.7003291663255,79.5140645596437,0.8836
"3",4,0.316684210526316,173.278413074453,325.264917917319,0.7738
"4",4,0.474526315789474,311.835559189721,590.621255708584,0.6646
"5",4,0.632368421052632,431.705383018938,817.572705135686,0.5551
"6",4,0.790210526315789,484.883258187415,861.070141187504,0.4723
"7",4,0.948052631578947,597.217470553258,1131.33354633478,0.3962
"8",4,1.10589473684211,591.444867134001,1145.11725463531,0.3306
"9",4,1.26373684210526,577.106457528345,1127.67442682991,0.2842
"10",4,1.42157894736842,610.908210460512,1178.03132214551,0.2339
"11",4,1.57942105263158,551.395926621606,1013.19330949774,0.185
"12",4,1.73726315789474,536.474924092432,1044.34522901568,0.1555
"13",4,1.89510526315789,486.897960285505,939.638050093833,0.1325
"14",4,2.05294736842105,420.769165951618,733.122693022605,0.1119
"15",4,2.21078947368421,337.279867404831,641.403096795987,0.0901
"16",4,2.36863157894737,353.993565821497,674.540761933205,0.0803
"17",4,2.52647368421053,275.808216557212,519.858293831159,0.0662
"18",4,2.68431578947368,235.100443484723,438.769133583645,0.0532
"19",4,2.84215789473684,207.354797738024,393.338620715883,0.0473
"20",4,3,161.190508411257,297.982862858724,0.034
"21",4,NA,2.35049000904854,4.42491051224683,0.9992
"22",4,NA,43.8375232233939,84.5843322862982,0.8836
"23",4,NA,150.116346483668,287.487776952178,0.7737
"24",4,NA,298.195821127989,566.137472469013,0.6619
"25",4,NA,425.328539894908,810.477028147204,0.5633
"26",4,NA,509.381380336735,951.958035019881,0.4756
"27",4,NA,557.386136499794,996.86334268958,0.3988
"28",4,NA,678.875147834601,1300.91848385177,0.325
"29",4,NA,631.607266652099,1227.00045804816,0.2785
"30",4,NA,656.833233236801,1257.48202070064,0.2288
"31",4,NA,580.204623864745,1076.99230243018,0.1979
"32",4,NA,502.8112384011,946.967148681299,0.16
"33",4,NA,474.721020416103,925.086288677364,0.1355
"34",4,NA,434.08060757323,829.769453444324,0.1056
"35",4,NA,320.226922162604,602.530501817197,0.0881
"36",4,NA,267.604266336702,516.975914075952,0.0783
"37",4,NA,246.9767466303,484.043213295547,0.0654
"38",4,NA,243.323879012704,473.234331097323,0.05
"39",4,NA,215.261905872877,414.949970563497,0.0478
"40",4,NA,144.939992024392,278.135989401974,0.0335
"41",4,NA,1.08480304608661,2.09471231983182,0.9989
"42",4,NA,43.522934132714,73.8064683913443,0.8793
"43",4,NA,146.227257150531,276.696616450756,0.7657
"44",4,NA,290.568806449939,544.857707963234,0.6607
"45",4,NA,422.857731276902,803.38071242107,0.5697
"46",4,NA,550.227681537482,1069.52651062953,0.4755
"47",4,NA,589.893388937972,1074.14833504577,0.3933
"48",4,NA,603.855135853635,1040.1197884122,0.3253
"49",4,NA,617.502857287783,1047.27028012054,0.2692
"50",4,NA,516.44383403082,938.790683549558,0.2252
